day	stage	start	end	artist	openEnd
4	AMERICAN EXPRESS	16:30	17:30	DYLAN GOSSETT	
4	AMERICAN EXPRESS	18:30	19:30	CAGE THE ELEPHANT	
4	AMERICAN EXPRESS	20:30		LUKE COMBS	1
4	AUSTIN KIDDIE LIMITS	13:30	14:00	SCHOOL OF ROCK	
4	AUSTIN KIDDIE LIMITS	15:00	15:30	JOANIE LEEDS	
4	AUSTIN KIDDIE LIMITS	17:00	17:30	Q BROTHERS	
5	T-MOBILE	12:45	13:30	SHALLOWATER	
5	T-MOBILE	14:15	15:15	LEISURE	
5	T-MOBILE	16:15	17:15	CAR SEAT HEADREST	
5	T-MOBILE	18:15	19:15	PIERCE THE VEIL	
5	T-MOBILE	20:15		THE STROKES	1
5	MILLER LITE	13:30	14:15	YOKE LORE	
5	MILLER LITE	15:15	16:15	OCEAN ALLEY	
5	MILLER LITE	17:15	18:15	LATIN MAFIA	
5	MILLER LITE	19:15	20:15	ZEDS DEAD	
5	BMI	12:15	12:45	ERIC SLICK	
5	BMI	13:30	14:15	SOUTH ARCADE	
5	BMI	15:15	16:15	DIZZY FAE	
5	BMI	17:15	18:15	SOUTHALL	
5	BEATBOX	13:45	14:30	TOPS	
5	BEATBOX	15:30	16:30	JOEY VALENCE & BRAE	
5	BEATBOX	17:30	18:30	FUJII KAZE	
5	BEATBOX	19:30	20:30	JAPANESE BREAKFAST	
5	TITO'S HANDMADE VODKA	13:00	13:45	TED HAMMIG & THE CAMPAIGN	
5	TITO'S HANDMADE VODKA	14:45	15:30	ODEAL	
5	TITO'S HANDMADE VODKA	16:30	17:30	LA LOM	
5	TITO'S HANDMADE VODKA	18:30	19:30	LP GIOBBI	
5	TITO'S HANDMADE VODKA	20:00	22:00	SILENT DISCO	
5	BONUS TRACKS	14:30	15:00	STRETCH BEFORE THE SET	
5	BONUS TRACKS	16:30	17:00	JAPANESE BREAKFAST X SUPERMUSH	
5	BONUS TRACKS	18:30	19:00	LOS TACOS DE ACL FEST	
5	LADY BIRD	13:45	14:30	ALEMEDA	
5	LADY BIRD	15:30	16:30	SPACEY JANE	
5	LADY BIRD	17:30	18:30	MAGDALENA BAY	
5	LADY BIRD	19:30	20:30	DJO	
5	AMERICAN EXPRESS	13:00	13:45	SYDNEY ROSE	
5	AMERICAN EXPRESS	14:30	15:30	OLIVIA DEAN	
5	AMERICAN EXPRESS	16:30	17:30	MARINA	
5	AMERICAN EXPRESS	18:30	19:25	DOECHII	
5	AMERICAN EXPRESS	20:35		SABRINA CARPENTER	1
5	AUSTIN KIDDIE LIMITS	12:15	12:45	BARTON HILLS CHOIR	
5	AUSTIN KIDDIE LIMITS	13:15	13:45	STRAWBITTY YOPS	
5	AUSTIN KIDDIE LIMITS	15:00	15:30	JOANIE LEEDS	
5	AUSTIN KIDDIE LIMITS	17:00	17:30	DIVI ROXX KIDS	
6	T-MOBILE	12:45	13:30	HANS WILLIAMS	
6	T-MOBILE	14:15	15:15	ANDERSON EAST	
6	T-MOBILE	16:15	17:15	RAINBOW KITTEN SURPRISE	
6	T-MOBILE	18:15	19:15	FEID	
6	T-MOBILE	20:15		JOHN SUMMIT	1
6	MILLER LITE	13:30	14:15	CHEZILE	
6	MILLER LITE	15:15	16:15	THE DARE	
6	MILLER LITE	17:15	18:15	DISCO LINES	
6	MILLER LITE	19:15	20:15	POLO & PAN	
6	BMI	12:15	12:45	ALEX AMEN	
6	BMI	13:30	14:15	ALLY SALORT	
6	BMI	15:15	16:15	SUPERTASTE	
6	BMI	17:15	18:15	THE BENDS	
6	BEATBOX	13:45	14:30	THE POINT.	
6	BEATBOX	15:30	16:30	LUCIUS	
6	BEATBOX	17:30	18:30	CA7RIEL & PACO AMOROSO	
6	BEATBOX	19:30	20:30	GREGORY ALAN ISAKOV	
6	TITO'S HANDMADE VODKA	13:30	14:15	THE HUSTON-TILLOTSON UNIVERSITY JAZZ COLLECTIVE	
6	TITO'S HANDMADE VODKA	14:45	15:30	HEY, NOTHING	
6	TITO'S HANDMADE VODKA	16:30	17:30	MIDNIGHT GENERATION	
6	TITO'S HANDMADE VODKA	18:30	19:30	PASSION PIT	
6	TITO'S HANDMADE VODKA	20:00	22:00	SILENT DISCO	
6	BONUS TRACKS	14:30	15:00	EXTRAGRAMS PRESENTS DRAG BINGO!	
6	BONUS TRACKS	16:30	17:00	MIXED-TAPE: A DRAG SHOW!	
6	BONUS TRACKS	18:45	19:15	DJ CASSANDRA DANCE PARTY	
6	LADY BIRD	13:45	14:30	FLOWEROVLOVE	
6	LADY BIRD	15:30	16:30	ROYAL & THE SERPENT	
6	LADY BIRD	17:30	18:30	GIGI PEREZ	
6	LADY BIRD	19:30	20:30	MK.GEE	
6	AMERICAN EXPRESS	13:00	13:45	CASE OATS	
6	AMERICAN EXPRESS	14:30	15:30	JULIE	
6	AMERICAN EXPRESS	16:30	17:30	WET LEG	
6	AMERICAN EXPRESS	18:30	19:30	T-PAIN	
6	AMERICAN EXPRESS	20:30		THE KILLERS	1
6	AUSTIN KIDDIE LIMITS	13:15	13:45	DIVI ROXX KIDS	
6	AUSTIN KIDDIE LIMITS	15:00	15:30	SCHOOL OF ROCK	
6	AUSTIN KIDDIE LIMITS	16:00	16:30	GINA CHAVEZ	
6	AUSTIN KIDDIE LIMITS	17:00	17:30	KOO KOO	
